accion_id,hallazgo_id,tipo,auditor,dependencia,accion,objetivo,indicador,unidad_medida,meta,recursos,fecha_inicio,fecha_fin,descripcion,denominacion_medida,ejecutor_login,ejecutor_name,ejecutor_email,ejecutor_rol
11,8,,rberdugo,OAPC,GENERAR UN CRONOGRAMA SOBRE LOS NUEVOS PROCESOS CONTRACTUALES QUE SE HAGAN HASTA JUNIO O JULIO DE LA VIGENCIA PARA LOS PROYECCTOS DE INVERSIÓN.,,NÚMERO DE CRONOGRAMAS SOBRE LOS NUEVOS PROCESOS CONTRACTUALES,NÚMERO DE CRONOGRAMAS SOBRE LOS NUEVOS PROCESOS CONTRACTUALES,1,,2017-12-01,2018-01-31,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
12,9,,rberdugo,SCON,1. LA SECCIÓN DE CONTABILIDAD REALIZARA PERIODICAMENTE  EL CRUCE DE INFORMACIÓN CON LAS AREAS RESPONSABLES CON EL FIN DE LOGRAR LA CONCILIACIÓN DE LAS CIFRAS Y EFECTUARA LA DEPURACIÓN DE PARTIDAS QUE DE ALUGAR EN DICHAS CUENTAS CONTABLES.   2. LAS AREAS R,,NO. DE CUENTAS POR COBRAR RECONOCIDAS/ NO. DE CUENTAS POR COBRAR CONCILIADAS *100,NO. DE CUENTAS POR COBRAR RECONOCIDAS/ NO. DE CUENTAS POR COBRAR CONCILIADAS *100,1,,2016-09-01,2017-04-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
13,9,,rberdugo,DRH,REPORTAR DE MANERA ADECUADA Y OPORTUNA LA INFORMACIÓN A LA SECCIÓN DE CONTABILIDAD PARA SU RESPECTIVO RECONOCIMEITNO Y REVELACIÓN.,,INFORMACIÓN REPORTADA/ INFORMACIÓN CONCILIADA *100,INFORMACIÓN REPORTADA/ INFORMACIÓN CONCILIADA *100,1,,2016-09-01,2017-04-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
14,9,,rberdugo,SCON,REALIZAR PERIODICAMENTE  EL CRUCE DE INFORMACIÓN CON LAS AREAS RESPONSABLES.,,CONCILIACIÓN DEL 100% DE LOS SALDOS,CONCILIACIÓN DEL 100% DE LOS SALDOS,1,,2016-09-01,2017-04-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
15,10,,rberdugo,IDEXUD,DISEÑAR UN ESQUEMA DE REDUCCIÓN DE PARTIDAS PENDIENTES POR DEPURAR DE LOS PROYECTOS DE EXTENSIÓN VIGENTES.,,ESQUEMA DISEÑADO / ESQUQMQ PROPUESTO,ESQUEMA DISEÑADO / ESQUQMQ PROPUESTO,1,,2017-08-01,2017-10-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
16,10,,rberdugo,IDEXUD,REGLAMENTAR EL PROCEDIMIENTO PARA CIERRE Y LIQUIDACIÓN DE LAS CUENTAS BANCARIAS ASOCIADAS A LOS RECURSOS DE LOS  PROYECTOS DE EXTENSIÓN,,REGLAMENTACIÓN EXPEDIDA / REGLAMENTACIÓN PROPUESTA,REGLAMENTACIÓN EXPEDIDA / REGLAMENTACIÓN PROPUESTA,1,,2017-08-01,2017-11-30,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
17,10,,rberdugo,IDEXUD,VERIFICACIÓN DE LA CANCELACIÓN DE LAS CUENTAS DE ACUERDO A LA LIQUIDACIÓN DE LOS PROYECTOS DE EXTENSIÓN EJECUTADOS EN ELLAS,,TOTAL DE CUENTAS CANCELADAS / TOTAL DE CUENTAS LIQUIDABLES,TOTAL DE CUENTAS CANCELADAS / TOTAL DE CUENTAS LIQUIDABLES,1,,2017-08-01,2017-12-15,,,idexud,Director del IDEXUD,idexud@udsitrital.edu.co,2
18,11,,rberdugo,OAS,VALIDAR LOS REGISTROS DE CUENTAS CONTABLES ENTRE EL SISTEMA ARKA (ALMACEN E INVENTARIOS ) Y CONTABILIDAD,,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-31,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
19,11,,rberdugo,AGI,VALIDAR EL DISGNOSTICO TÉCNICO INICIAL PARA PROPONER LAS SOLUCIONES DE ACUERDO AL RESULTADO OBTENIDO,,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-31,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
20,11,,rberdugo,SCON,"VALIDAR EL DISGNOSTICO TECNICO FINAL CON LOS AJUSTES, PARA PROPONER LAS SOLUCIONES DE ACUERDO AL RESULTADO OBTENIDO.",,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-31,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
21,11,,rberdugo,OAS,"REVISAR  LOS ASPECTOS TÉCNICOS, PARA REALIZAR LOS AJUSTES NECESARIOS DE ACUERDO AL DISGNOSTICO DEFINITIVO, PARA DAR INICIO AL LOS REGISTROS CONTABLES.",,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,1,,2017-08-01,2017-11-30,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
22,11,,rberdugo,SCON,"REGISTRAR  EL  MOVIMIENTO MENSUAL DE ALMACÉN E INVENTARIOS  Y  REALIZAR RESPECTIVA CONCILIACIÓN DE SALDOS ENTRE  CONTABILIDAD Y ALMACÉN, SIEMPRE Y CUANDO LA INFORMACIÓN REPORTADA POR LA SECCIÓN DE ALMACÉN SEA RAZONABLE Y ESTE DEBIDAMENTE SOPORTADA.",,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,(CUENTAS REGISTRADAS Y CONCILIADAS/CUENTAS REPORTADAS POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
23,12,,rberdugo,OAS,VALIDAR LOS REGISTROS DE CUENTAS CONTABLES ENTRE EL SISTEMA ARKA (ALMACEN E INVENTARIOS ) Y CONTABILIDAD,,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-30,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
24,12,,rberdugo,AGI,VALIDAR EL DISGNOSTICO TÉCNICO INICIAL PARA PROPONER LAS SOLUCIONES DE ACUERDO AL RESULTADO OBTENIDO,,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-30,,,almacen,Jefe de Sección Almacen,almacen@udistrital.edu.co,2
25,12,,rberdugo,OAS,"REVISAR  LOS ASPECTOS TÉCNICOS, PARA REALIZAR LOS AJUSTES NECESARIOS DE ACUERDO AL DISGNOSTICO DEFINITIVO, PARA DAR INICIO AL LOS REGISTROS CONTABLES.",,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,1,,2017-08-01,2017-11-30,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
26,12,,rberdugo,SCON,REGISTRAR  EL  MOVIMIENTO MENSUAL DE ALMACÉN E INVENTARIOS   Y LA CONCILIACIÓN RESPECTIVA ENTRE  CONTABILIDAD Y ALMACÉN.,,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,(DEPRECIACIÓN REGISTRADA Y  CONCILIADAS/INFORME DE DEPRECIACIÓN REPORTADO POR ALMACÉN) X 100%,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
27,13,,rberdugo,SCON,"REPORTAR A  RECURSOS  HUMANOS EL ESTADO DE NÓMINA DE LOS PASIVOS Y ACTIVOS DE LOS  FUNCIONARIOS (ADMINISTRATIVOS , DOCENTES) Y PENSIONADOS.",,REPORTE DEL ESTADO DE NÓMINA DEL PASIVO Y ACTIVO DE LOS  FUNCIONARIOS Y PENSIONADOS.,REPORTE DEL ESTADO DE NÓMINA DEL PASIVO Y ACTIVO DE LOS  FUNCIONARIOS Y PENSIONADOS.,1,,2017-08-01,2018-02-28,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
28,13,,rberdugo,DRH,"ANALIZAR LA NÓMINA DE LOS FUNCIONARIOS (ADVOS , DOCENTES) Y PENSIONADOS ENTREGADA POR LA OFICINA DE SISTEMAS, PARA ENVIAR AL ACTUARIO Y REALIZAR EL CÁLCULO ACTUARIAL RESPECTIVO, PARA EMISIÓN DEL CERTIFICADO.",,INFORMACIÓN TOTAL REPORTADA AL ACTUARIO,INFORMACIÓN TOTAL REPORTADA AL ACTUARIO,1,,2017-08-01,2018-04-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
29,13,,rberdugo,DRH,ENTREGAR LA INFORMACION AL ACTUARIO PARA EL CALCULO A 31 DE DICIEMBRE DEL AÑO DE LA VIGENCI. UNA VEZ REPORTADO EL ESTUDIO DEL CALCULO ACTUARIAL SE LE ENTREGA A CONTABILIDAD PARA SUS REGISTROS CONTABLES Y FINANCIEROS.,,CERTIFICACIÓN CON CÁLCULO ACTUARIAL CONTABLE,CERTIFICACIÓN CON CÁLCULO ACTUARIAL CONTABLE,1,,2017-08-01,2018-04-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
30,14,,rberdugo,SCON,ANALIZAR LA INFORMACIÓN CONTABILIZADA CONTRA EL AVALUÓ DE LOS INMUEBLES Y PROCEDER A REALIZAR EL AJUSTE PERTINENTE.,,SALDOS CON NATURALEZA CONTRARIA A AJUSTAR/ AJUSTES REALIZADOS *100,SALDOS CON NATURALEZA CONTRARIA A AJUSTAR/ AJUSTES REALIZADOS *100,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
31,15,,rberdugo,DRH,"LIQUIDAR LA DEUDA PRESUNTA SEGÚN INSTRUCCIÓN ADMINISTRATIVA RESPECTIVA, YA SEA PARA UNO, ALGUNO O TODOS LOS CASOS DESCRITOS",,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,1,,2017-08-01,2017-12-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
32,15,,rberdugo,SCON,REALIZAR LOS REGISTROS CONTABLES DE LAS LIQUIDACIONES ENTREGADAS POR LA OFICINA DE RECURSOS HUMANOS.,,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
33,16,,rberdugo,SCON,"DEFINIR, IMPLEMENTAR Y ADOPTAR CON EL SIGUD  UN PROCEDIMIENTO EN EL CUAL SE DETERMINE LOS SOPORTES  ADECUADOS PARA ADJUNTAR A LOS COMPROBANTES DE AJUSTES DE INGRESOS Y GASTOS DE VIGENCIAS ANTERIORES.",,PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA ADJUNTAR SOPORTES DE DEPURACIÓN DE PARTIDAS CON AFECTACIÓN A INGRESOS Y/O GASTOS DE VIGENCIAS ANTERIORES.,PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA ADJUNTAR SOPORTES DE DEPURACIÓN DE PARTIDAS CON AFECTACIÓN A INGRESOS Y/O GASTOS DE VIGENCIAS ANTERIORES.,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
34,17,,rberdugo,DRH,VERIFICAR  Y DAR CUMPLIMIENTO AL PROCEDIMIENTO DE PAGO DE CESANTIAS DE ACUERDO A  LOS TIEMPOS DE ELABORACIÓN APROBACIÓN Y PAGO DENTRO DE LOS TIEMPOS ESTABLECIDOS POR LA NORMA,,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,1,,2017-08-01,2017-12-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
35,17,,rberdugo,SCON,REVISAR LOS SOPORTES ASOCIADOS PARA EL REGISTRO CONTABLE SEGÚN EL CONCEPTO Y NATURELEZA DE LA CUENTA DE ACUERDO AL REGIMEN CONTABE DELA UDFJC,,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,CUOTAS PARTES POR COBRAR INCOBRABLES/VALOR PROVISIONADO,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
36,18,,rberdugo,OAJ,ELABORAR  Y SOCIALIZAR  EL PROCEDIMIENTO PARA PAGOS DE SENTENCIAS JUDICIALES LABORALES,,PROCEDIMIENTO APROBADO Y SOCIALIZADO,PROCEDIMIENTO APROBADO Y SOCIALIZADO,1,,2017-08-01,2017-08-31,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
37,18,,rberdugo,DRH,SOLICITAR APERTURA DEL PROCESO DISCIPLINARIO AL RESPONSABLE DE LA SITUACIÓN PRESENTADA  EN CASO DE PRESENTARSE,,PROCEDIMIENTO APROBADO Y SOCIALIZADO,PROCEDIMIENTO APROBADO Y SOCIALIZADO,1,,2017-08-01,2017-12-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
38,18,,rberdugo,OAAD,SEGUIMIENTO DEL PROCESO DISCIPLINARIO PERTINENTE HASTA SU TERMINACIÓN.,,PROCEDIMIENTO APROBADO Y SOCIALIZADO,PROCEDIMIENTO APROBADO Y SOCIALIZADO,1,,2017-08-01,2018-04-30,,,asdisci,Jefe Oficina de Asuntos Disciplinarios,asdisci@udistrital.edu.co,2
39,19,,rberdugo,SG,ENVIAR  COMUNICACIÓN TANTO POR CORREO ELECTRÓNICO COMO POR OFICIO  POR MEDIO DE LA CUAL SE INFORME  A RECURSOS HUMANOS LA APLICACIÓN EN NÓMINA DE SUBROGACION PENSIONAL,,NÚMERO DE COMUNICACIONES ENVIADAS SOBRE APLICACIÓN DE NÓMINA DE SUBROGACIÓN/NÚMERO DE COMUNICACIONES PROYECTADAS ENVIAR SOBRE APLICACIÓN DE NÓMINA DE SUBROGACIÓN,NÚMERO DE COMUNICACIONES ENVIADAS SOBRE APLICACIÓN DE NÓMINA DE SUBROGACIÓN/NÚMERO DE COMUNICACIONES PROYECTADAS ENVIAR SOBRE APLICACIÓN DE NÓMINA DE SUBROGACIÓN,1,,2017-08-01,2018-04-30,,,sgral,Asistente de Secretario General,sgral@udistrital.edu.co,2
40,20,,rberdugo,SCON,DISEÑAR  Y APROBAR UN PROCEDIMIENTO EN UN FORMATO ESTÁNDAR DONDE SE REALICE  LA CONCILIACIÓN DE CIFRAS DE FORMA OBLIGATORIA  PARA  CADA GRUPO CONTABLE.,,PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA REALIZAR CONCILIACIÓN DE CIFRAS CON LAS ÁREAS QUE REPORTAN INFORMACIÓN SECCIÓN DE CONTABILIDAD.,PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA REALIZAR CONCILIACIÓN DE CIFRAS CON LAS ÁREAS QUE REPORTAN INFORMACIÓN SECCIÓN DE CONTABILIDAD.,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
41,21,,rberdugo,SCON,SOLICITAR EL  CONCEPTO A LA CONTADURÍA GENERAL DE LA NACIÓN SOBRE LA OBLIGACIÓN DE PUBLICAR Y PRESENTAR MENSUALMENTE LOS ESTADOS FINANCIEROS POR PARTE DE LA UDFJC.,,CONCEPTO EMITIDO POR EL ENTE REGULADOR COMPETENTE PARA EFECTO DE LA CONCEPTO PUBLICACIÓN MENSUAL ESTADOS FINANCIEROS.,CONCEPTO EMITIDO POR EL ENTE REGULADOR COMPETENTE PARA EFECTO DE LA CONCEPTO PUBLICACIÓN MENSUAL ESTADOS FINANCIEROS.,1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
42,22,,rberdugo,SCON,"REVISAR Y ANALIZAR LAS CUENTAS QUE SE ENCUENTRAN CLASIFICADAS EN ""OTROS"" DENTRO DEL PLAN DE CUENTAS CONTABLES Y ESTOS TIENEN LA PERTINENCIA CORRESPONDIENTE.",,"REVISIÓN DEL 100% DE LAS CUENTAS CON DENOMINACIÓN "" OTROS"" EN EL P.U.C. DE LA UNIVERSIDAD.","REVISIÓN DEL 100% DE LAS CUENTAS CON DENOMINACIÓN "" OTROS"" EN EL P.U.C. DE LA UNIVERSIDAD.",1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
43,22,,rberdugo,SCON,DEFINIR  UN PROCEDIMIENTO PARA LA REVELACIÓN DE ESTAS CUENTAS EN LAS NOTAS A LOS ESTADOS FINANCIEROS.,,"PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA CREACIÓN DE UNA CUENTA "" OTROS"", NO ESPECIFICADA EN EL P.U.C. DE LA CGN.","PROCEDIMIENTO FORMALIZADO Y PUBLICADO PARA CREACIÓN DE UNA CUENTA "" OTROS"", NO ESPECIFICADA EN EL P.U.C. DE LA CGN.",1,,2017-08-01,2017-12-30,,,contab,Jefe Sección de Contabilidad,contab@udistrital.edu.co,2
44,23,,rberdugo,OAS,ETAPA 1:  CONSOLIDAR INFORMACIÓN DE DOCENTES,,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,1,,2017-08-01,2017-09-15,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
45,23,,rberdugo,OAS,IDENTIFICAR FUENTES DE INFORMACIÓN,,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,1,,2017-08-01,2017-09-15,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
46,23,,rberdugo,OAS,REALIZAR JOB PARA INTEGRAR DATOS DESARTICULADOS Y DEFINICIÓN DE POLÍTICA DE DATOS,,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,1,,2017-08-01,2017-09-15,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
47,23,,rberdugo,OAS,ENTREGAR LA EVIDENCIA DE INTEGRACIÓN DE DATOS,,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,INFORMACIÓN DE DOCENTES CONSOLIDADAS/TOTAL DE DOCENTES,1,,2017-08-01,2017-09-15,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
48,23,,rberdugo,OAS,ETAPA 1: CONSOLIDAR INFORMACIÓN DE FINANCIERA,,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,1,,2017-08-01,2017-12-31,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
49,23,,rberdugo,OAS,IDENTIFICAR FUENTES DE INFORMACIÓN,,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,1,,2017-08-01,2017-12-31,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
50,23,,rberdugo,OAS,REALIZAR JOB PARA INTEGRAR DATOS DESARTICULADOS Y DEFINICIÓN DE POLÍTICA DE DATOS,,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,INFORMACIÓN CONSOLIDADA/ INFORMACIÓN POR CONSOLIDAR,1,,2017-08-01,2017-12-31,,,computo,Jefe de Oficina Asesora de Sistemas,computo@udistrital.edu.co,2
