avances_id,accion_id,descripcion,fecha_corte,estado,porcentaje,tipo_calificacion
16,16,"La reglamentación  se esta elaborando mediante acto administrativo ,  la Oficina Asesora de Control interno recomienda asociar esta en algún procedimiento del Sistema de Gestión de caldad que permita evidenciar la definición de las cuentas bancarias asoci",31/10/2018,en_progreso,,
17,17,Verificación de la cancelación de las cuentas de acuerdo a la liquidación de los proyectos de extensión ejecutados en ellas,31/10/2018,en_progreso,,
18,18,"Esta acción no pertenecía a la Oficina Asesora de Sistemas, ni es competencia de oficina,  sin embargo en el año 2018 fue asignada y se ha solicitado en varias ocasiones",31/10/2018,en_progreso,,
19,19,Se entrega el Diagnostico Técnico por parte de Almacen en medio fiisico.,31/10/2018,en_progreso,,
20,20,2 arcchivos - conciliación saldos almacen  septiembre y diciembre de 2017,31/10/2018,en_progreso,,
21,21,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
22,22,"La Sección de Contabilidad ha registrado el movimiento de las Entradas y Salidas respecto de los bienes adquiridos por la Universidad, de conformidad con la información reportada por la Sección General de Almacén e Inventario, incluida en el reporte de in",31/10/2018,en_progreso,,
23,23,"Esta acción no pertenecía a la Oficina Asesora de Sistemas, ni es competencia de oficina,  sin embargo en el año 2018 fue asignada y se ha solicitado en varias ocasiones",31/10/2018,en_progreso,,
24,24,Se entrega el Diagnostico Técnico por parte de Almacen en medio fiisico.,31/10/2018,en_progreso,,
25,25,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
26,26,"La Sección de Contabilidad registro la información correspondiente a la depreciación individual de las edificaciones y de los diferentes componentes de la propiedad planta y equipo, de conformidad con la circular 56 y los avalúos reportados.  

2.3.1.2.13",31/10/2018,en_progreso,,
27,27,"La Sección de Contabilidad no es la encargada de reportar a recursos humanos el estado de nómina de los pasivos y activos de los funcionarios, por el contrario, se supone que es el área responsable de la información la que debe reportarla a la sección de ",31/10/2018,en_progreso,,
28,28,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
29,29,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
30,30,"La Sección de Contabilidad reconoció los avalúos reportados por la Oficina Asesora de Planeación y Control, para efectos de la determinación de saldos iniciales de conformidad con la Resolución No. 533 del 2015 y el Instructivo No. 002 del 2015 emitidos p",31/10/2018,en_progreso,,
31,31,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
32,32,Esta acción no corresponde a la Sección de Contabilidad.,31/10/2018,en_progreso,,
33,33,"La Sección de Contabilidad en apoyo con la Oficina Asesora de Planeación y Control actualizo el procedimiento GRF-PR-008, INFORMES CONTABLES en el SIGUD. Esta acción se realizó en el 2017, sin embargo este procedimiento ya no es aplicable en la fecha actu",31/10/2018,en_progreso,,
34,34,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
35,35,"
La Sección de Contabilidad mediante circular definió la cuenta a utilizar para efectos del reconocimiento de los intereses de mora, pero el procedimiento depende de las áreas en la cual se origina el pago de los mismos, dado que contablemente se registra",31/10/2018,en_progreso,,
36,36,Se elaboró procedimiento de cumplimiento de fallos y se socializó con R.H. y RECTORIA.,31/10/2018,en_progreso,,
37,37,"se tiene documentado que los intereses que se pagaron fueron porque asi la norma lo permite, mas no por que se halla pagado por fecha posterior",31/10/2018,en_progreso,,
38,38,"1. Por medio de auto de 16 de junio de 2017, se da apertura a la Indagación Preliminar en Averiguación de Responsables y se decretan pruebas de oficio.

2. A través de auto de 4 de diciembre de 2017, el Despacho decreta pruebas de oficio. 

3, Finalmente ",31/10/2018,en_progreso,,
39,39,"Sobre toda la resolución que ordena aplicar subrogación pensional, se remite por oficio a la división de recursos humanos.
Se adjunta matriz en donde se pueden evidenciar las Resoluciones que ordena aplicar subrogación en nómina y donde se evidencia la fe",31/10/2018,en_progreso,,
40,40,"La Sección de Contabilidad en apoyo con la Oficina Asesora de Planeación y Control actualizo el procedimiento GRF-PR-010, CONCILIACIONES en el SIGUD, el cual incluyo los subprocesos de elaboración de conciliaciones y depuración e conciliaciones bancarias,",31/10/2018,en_progreso,,
41,41,"De conformidad con lo establecido por la Contaduría General de la Nación, en el CONSIDERANDO de la Resolución No. 182 del 19 de mayo del 2017, no existía el procedimiento para realizar dicha publicación de forma periódica, de acuerdo con lo siguiente: “Qu",31/10/2018,en_progreso,,
42,42,,31/10/2018,en_progreso,,
43,43,"La Sección de Contabilidad, realizo el análisis de las Cuentas “Otros” y se tuvo en cuenta esta observación dentro del proceso de homologación de los cuentas contables  para efectos de la implementacion del NMNC, de conformidad con lo estipulado por la Co",31/10/2018,en_progreso,,
44,44,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
45,45,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
46,46,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
47,47,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
48,48,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
49,49,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
50,50,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
51,51,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
52,52,"La Sección de Contabilidad procedió a realizar la actualización del procedimiento, a través del levantamiento del mismo mediante acta del día 13 de Junio de 2017, con el fin de formalizar nuevamente el procedimiento GRF-PR-008 “Cierre de Vigencia” de acue",31/10/2018,en_progreso,,
53,53,"Se realiza seguimiento durante el 2018 en el mes de febrero - Junio - septiembre y Octubre, al plan de mejorameinto en el mes de noviembre, se evidencia en las actas que se levanto con cada unas de las oficinas.",31/10/2018,en_progreso,,
54,54,"La Resolución  247 del 30 de julio de 2018  firmada por el Rector de la Universidad Distrital reglamenta, establece en el artículo 7 No. 8 la documentación que soporta y evidencia  las negociaciones  de Inversión. Esta acción fue reprotada a la Oficina As",31/10/2018,en_progreso,,
55,55,"El avance de esta acción con respecto a subsanar el hallazgo se soporta en la identificación de riesgos, realizada como consecuencia del Plan de Trabajo SIGUD 2017, que en su octava y última línea ""Riesgos asociados por Proceso"", desarrolló la aplicación ",31/10/2018,en_progreso,,
56,56,"Especificamente en el Riesgo Violación a la Seguridad Informática, identificado en zona de riesgo catastrófico e inaceptable, los controles definidos lo llevan a ser recategorizado dentro de zona residual ALTA-IMPORTANTE, dichos controles son:

* Contrata",31/10/2018,en_progreso,,
57,57,"es esta realizando los proceso de acuerdo con la documentación aprobada en la dependecia.

se adjunta el acta  de actualización de los precesos y procemientos",31/10/2018,en_progreso,,
58,58,No se encontro respuesta en Almancen  - pendiente en Contabilidad entregar informe depueración de cuentas,31/10/2018,en_progreso,,
59,59,"La Sección de Contabilidad mediante correos electrónicos, envío a la Sección General de Almacén e Inventarios el catalogo inicial para revisión y luego se ajustó y se volvió a reenviar, en la actualidad se sigue trabajando con este.

2.3.1.2.36 Catalogo d",31/10/2018,en_progreso,,
60,60,Esta acción no corresponde a la Sección de Contabilidad.,31/10/2018,en_progreso,,
61,61,"1. Por medio de auto de 15 de noviembre de 2018, se da apertura a la Indagación Preliminar en Averiguación de Responsables y se decretan pruebas de oficio en el proceso radicado con el número 256-2018.
En la actualidad el proceso se encuentra en trámite. ",31/10/2018,en_progreso,,
62,62,"Por medio de auto de 15 de noviembre de 2018, se da apertura a la Indagación Preliminar en Averiguación de Responsables y se decretan pruebas de oficio en el proceso radicado con el número 256-2018.
En la actualidad el proceso se encuentra en trámite. 

D",31/10/2018,en_progreso,,
63,63,SE ENVIO CORREO SOLICITANDO INFORME,31/10/2018,en_progreso,,
64,64,"INSTRUCTIVO PARA EL MANEJO Y LEGALIZACIÓN DE AVANCES   Código: GRF-PR-012-IN-001 donde se asocia la  Resolución No. 652 de diciembre 18 de 2015, la División de Recursos Financieros de la Universidad Distrital Francisco José de Caldas expide el presente “i",31/10/2018,en_progreso,,
65,65,,31/10/2018,en_progreso,,
66,66,"La División de Recursos Humanos ha realizado 111 proyectos de Resoluciones con las liquidaciones incluidas la cuales ha sido notificadas según cuadro anexo.

Se anexa cuadro en Excel con la información de los pensionados.",31/10/2018,en_progreso,,
67,67,"La División de Recursos Humanos en conjunto con la Oficina Asesora jurídica en mesa de trabajo realizo los ajustes pertinentes a la minuta de las Resoluciones para el cobro de las cuotas partes a las diferentes entidades cuotapartitas.

Se anexa el acto a",31/10/2018,en_progreso,,
68,68,"Los profesionales contratos para realizar el análisis y el cobro y consulta ex pot y cobro de cuotas informe que a la fecha se han revisado 272 hojas de vida.
se anexa base de datos en excel de los pensionados.",31/10/2018,en_progreso,,
69,69,De las consultas realizadas a las diferentes entidades cuotapartistas pensionales se han recibido y resuelto 19 recursos.  Se anexa el Excel  el listado de los pensionados.,31/10/2018,en_progreso,,
70,70,"Los profesionales designados para el cobro de las cuotas partes pensionales de la Universidad, en lo que va corrido del proceso de cobro, aun no se han iniciado demandas contra ninguna entidad cuotapartista.",31/10/2018,en_progreso,,
71,71,"La División de recursos humanos mediante oficio del 7 septiembre solicito incluir en el presupuesto de la vigencia 2019 los recursos para contratar las personas para realizar el proceso de depuración de las deudas presuntas.

se anexa oficio ",31/10/2018,en_progreso,,
72,72,"La División de Recursos Humanos en conjunto con la Oficina Asesora jurídica en mesa de trabajo realizo los ajustes pertinentes a la minuta de las Resoluciones para el cobro de las cuotas partes a las diferentes entidades cuotapartitas.
Se anexa el acto ad",31/10/2018,en_progreso,,
73,73,"La Sección de Contabilidad mediante oficio CONT-026-2017, del 21 de abril 21 de 2017, le reitero a la Oficina Asesora Juridica la solicitud de información de los Embargos Judiciales registrado en la cuentas contable 147013 a marzo 31 de 2017 con un saldo ",31/10/2018,en_progreso,,
74,74,Se adjunta último informe de embargos,31/10/2018,en_progreso,,
75,75,Se adjunta ultimo informe de embargos,31/10/2018,en_progreso,,
76,76,,31/10/2018,en_progreso,,
77,77,"Se radico el  11/12/2017  el Oficio con # de radicado 2017IE34005 con los soportes de los hallazgos 2.1.3.2.15 y 2.3.1.2.8 a la oficina de Control Interno.
El 03/05/2018 con # de radicado 2018IE12319 se radico a la Oficina de Asesora de Asuntos Disciplina",31/10/2018,en_progreso,,
78,78,"Dentro de los hallazgos establecidos en la Auditoría 2017, no se había comunicado o informado a la Tesorería sobre laresponsabilidad de este hallazgo. En primer lugar este hallazgo no relaciona las cuentas contables objeto depuración para establecer si co",31/10/2018,en_progreso,,
79,79,"La Sección de Contabilidad solo puede registra lo que las áreas le reportan, para efectos de la cuentas por cobrar de cuotas partes, no han allegado información.",31/10/2018,en_progreso,,
80,80,"La Sección de Contabilidad para poder aplicar los porcentajes de provisión adecuados, se requiere que las áreas pertinentes alleguen la información respecto de la cartera castigada.",31/10/2018,en_progreso,,
81,81,"La Sección de Contabilidad para poder aplicar los porcentajes de provisión adecuados, se requiere que las áreas pertinentes alleguen la información respecto de la cartera castigada, razon por la cual, si no se conoce las cifras reales y las condiciones de",31/10/2018,en_progreso,,
82,82,"La Sección de Contabilidad Registro en SIIGO, de acuerdo con el cruce de información con el area de Fisicos y Planeación el N20-22/16 Activación construcción en curso Macarena A, actualización en la cuenta 1640010105 por $20.895.109.495,93. laTerminación ",31/10/2018,en_progreso,,
83,83,"La Sección de Contabilidad ha realizado cruces de información con la Oficina Asesora de Planeación y Control, respecto de los Bienes Recibidos de Terceros, Inmuebles en Construcción y Edificaciones Activas.

2.3.1.3 N20 25 Ajuste comodatos anexo 3 DADEP.p",31/10/2018,en_progreso,,
84,84,La sección de Almacen entrego información en fisico a la Oficina Asesora de Control Interno Mediante oficio No.DFCE-1331-2018,31/10/2018,en_progreso,,
85,85,"Mediante el N20-18/2016 se realiza el desmonte  y armonización de saldos contables y se registran los saldos reportados por  el Almacén General e Inventarios, según  la Resolución No. 328 del 11 de Julio del 2016. También se efectuaron registros contables",31/10/2018,en_progreso,,
86,86,"
Una vez realizada la armonización de saldos se procedió a realizar la respectiva conciliación de saldos entre la Sección de Contabilidad y la Sección de Almacén General e Inventarios según lo estipulado en la Resolución de Rectoria No. 328 del 11 de Juli",31/10/2018,en_progreso,,
87,87,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
88,88,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
89,89,"Esta acción no pertenecía ala Oficina Asesora de Sistemas, ni es competencia de oficina,  sin embargo en el año 2018 fue asignada y se ha solicitado en varias ocasiones.

De conformidad con el artículo 95 de la Ley 734 de 2002, las actuaciones adelantadas",31/10/2018,en_progreso,,
90,90,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
91,91,"Esta acción no pertenecía ala Oficina Asesora de Sistemas, ni es competencia de oficina,  sin embargo en el año 2018 fue asignada y se ha solicitado en varias ocasiones.

De conformidad con el artículo 95 de la Ley 734 de 2002, las actuaciones adelantadas",31/10/2018,en_progreso,,
92,92,"Se realizó la conciliación de saldos entre Contabilidad y Almacén  30-Dic-16. Arrojando una diferencia de $ 8.033.974.690,62.  Debido a inconsistencias en los saldos de algunos grupos de almacén según el reporte de diciembre/16. Sin embargo, es importante",31/10/2018,en_progreso,,
93,93,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
94,94,"Este módulo se realizó y se entregó, para el hallazgo se entregaron los respectivos soportes y se había indicado que el hallazgo quedaba cerrado sin embargo en el año 2018 vuelve a aparecer y en varias ocasiones han solicitado la misma información.

De co",31/10/2018,en_progreso,,
95,95,"Para este hallazgo. la oficina asesora de Control Interno había informado que se encontraba cerrado en su momento, sin embargo, para el año 2018 en tres ocasiones se ha solicitado la información con sus respectivos soportes la cual se ha entregado, pero a",31/10/2018,en_progreso,,
96,96,"Contabilidad realizo cruces de información con la División de Recursos Humanos, de los Mayores Valores Pagados en Descuentos de Nomina (Subsidio familiar, pensionados, sueldos y prestaciones sociales, etc.).  Información incorporada en  SIIGO  con el N12-",31/10/2018,en_progreso,,
97,97,Una vez realizada la armonización de saldos se procedió a realizar la respectiva conciliación de saldos entre la Sección de Contabilidad y la Sección de Almacén General e Inventarios según lo estipulado en la Resolución de Rectoria No. 328 del 11 de Julio,31/10/2018,en_progreso,,
98,98,"Contabilidad realizo cruces de información con la División de Recursos Humanos, de los Mayores Valores Pagados en Descuentos de Nomina (Subsidio familiar, pensionados, sueldos y prestaciones sociales, etc.).  Información incorporada en  SIIGO  con el N12-",31/10/2018,en_progreso,,
99,99,,31/10/2018,en_progreso,,
100,100,La sección de Almacen entrego información en fisico a la Oficina Asesora de Control Interno Mediante oficio No.DFCE-1331-2018,31/10/2018,en_progreso,,
101,101,"HALLAZGO ADMINISTRATIVO CON INCIDENCIA FISCAL EN CUANTÍA DE OCHO MILLONES CUATROCIENTOS MIL PESOS M/CTE. ($8.400.000.OO) Y PRESUNTA INCIDENCIA 
FALTA DE REGLAMENTACIÓN INTERNA, CON EL FIN DE CONTAR CON CONTROLES Y ACCIONES CLARAS EN EL PROCESO PRECONTRACT",31/10/2018,en_progreso,,
102,102,"Todos los contratos elaborados por AOJ, estan publicaod en SECOP 1-. Se reconocen por el numero del contrato y precedido con la letra j. Los contratos de producto de licitaciones son publicados por la VAF.  Se ha solicitado varias veces en Comité Asesor d",31/10/2018,en_progreso,,
103,103,Se adjunta revisión hecha en octubre de  2018. ,31/10/2018,en_progreso,,
104,104,"Se realiza socialización, mediante correo electronico y en sección de socialización realizada en el mes de Julio 2018 y Agosto de 2018. Se cuenta con las listas de asistencias.",31/10/2018,en_progreso,,
105,105,Se realiza acompañamiento durante la ultima semana de lulio  y primera semana de agosto de 2018.  Se cuentra con las listas de asistencia.,31/10/2018,en_progreso,,
106,106,Se esta en proceso de implementaicón del aplicativo SÏSIFO para realizar el seguimeinto de las acciones al plan de mejoramiento de la Contraloria de Bogota. Se cuenta con Actas.,31/10/2018,en_progreso,,
107,107,"Se realiza seguimiento durante el 2018 en el mes de febrero - Junio - septiembre y Octubre, al plan de mejorameinto en el mes de noviembre, se evidencia en las actas que se levanto con cada unas de las oficinas.",31/10/2018,en_progreso,,
108,108,"La gestión de Extensión se encuentra reglamentada mediante el Acuerdo 004 de 2013 y la Resolución 503 del mismo año.

ACUERDO 004 DE 2013
RESOLUCIÓN 503 DE 2013
RESOLUCIÓN 629 DE 2016
CIRCULAR 05 DE 2018
CIRCULAR 04 DE 2018
CIRCULAR 07 DE 2018
http://sigu",31/10/2018,en_progreso,,
109,109,"HALLAZGO ADMINISTRATIVO CON INCIDENCIA FISCAL EN CUANTÍA DE $9.000.000 Y PRESUNTA INCIDENCIA DISCIPLINARIA Y PENAL, POR LEGALIZACIÓN DE HECHOS CUMPLIDOS, TRÁMITE DEL CONTRATO SIN OBSERVACIÓN DE LOS REQUISITOS LEGALES Y CAMBIO EN LA DESTINACIÓN ESPECÍFICA ",31/10/2018,en_progreso,,
110,110,"HALLAZGO ADMINISTRATIVO CON INCIDENCIA FISCAL EN CUANTÍA TOTAL DE $3.071.980 Y PRESUNTA INCIDENCIA DISCIPLINARIA Y PENAL, POR LEGALIZACIÓN DE HECHOS CUMPLIDOS Y TRÁMITE SIN OBSERVACIÓN DE LOS REQUISITOS LEGALES EN CUANTÍA DE $1.482,005 E IRREGULARIDADES E",31/10/2018,en_progreso,,
111,111,"HALLAZGO ADMINISTRATIVO CON INCIDENCIA FISCAL EN CUANTÍA DE $38.800.000 Y PRESUNTA INCIDENCIA DISCIPLINARIA Y PENAL POR LEGALIZACIÓN DE HECHOS CUMPLIDOS, 
FALTA DE REGLAMENTACIÓN INTERNA, CON EL FIN DE CONTAR CON CONTROLES Y ACCIONES CLARAS EN EL PROCESO ",31/10/2018,en_progreso,,
112,112,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA Y PENAL POR LA TRANSGRESIÓN A LOS PRINCIPIOS DE PLANEACIÓN, TRANSPARENCIA, 
FALTA DE REGLAMENTACIÓN INTERNA, CON EL FIN DE CONTAR CON CONTROLES Y ACCIONES CLARAS EN EL PROCESO PRECONTRACTUAL, C",31/10/2018,en_progreso,,
113,113,"La gestión de Extensión se encuentra reglamentada mediante el Acuerdo 004 de 2013 y la Resolución 503 del mismo año.

ACUERDO 004 DE 2013
RESOLUCIÓN 503 DE 2013
RESOLUCIÓN 629 DE 2016
CIRCULAR 05 DE 2018
CIRCULAR 04 DE 2018
CIRCULAR 07 DE 2018
http://sigu",31/10/2018,en_progreso,,
114,114,"La Oficina Asesora de Planeación y Control, realizó seguimiento trimestral al proyecto y lo reportó ante la Secretaría de Planeación Distrital.
Evidencia: Reporte SEGPLAN III Trimestre",31/10/2018,en_progreso,,
115,115,"Se realiza reunión de seguimiento y se establecen compromisos sobre la ejecución.
Anexo: Seguimiento plan de intervención",31/10/2018,en_progreso,,
116,116,"Se realiza reunión para validación del plan de intervención y ajuste del mismo de acuerdo a los lineamientos establecidos por las directivas.
Anexo: Acta de seguimiento y plan de intervención ajustado.",31/10/2018,en_progreso,,
117,117,"1. Como quiera que la acción propuesta salvaguarda el debido proceso y el derecho de defensa a los pensionados dentro de los 106 casos objeto de hallazgo por parte de la Contraloría en presuntas dobles pensiones, se iniciaron procedimientos administrattiv",31/10/2018,en_progreso,,
118,118,"1. Se han desatado todos  los recursos de reposición interpuestos por los pensionados en los casos de incompatibilidad pensional . De 36 impugnaciones, 35 se han resuelto mediante acto administrativo y la restante se esta proyectando por la Oficina Asesor",31/10/2018,en_progreso,,
119,119,"1. Una vez agotada la vía gubernativa en cada uno de los procedimientos administrativos que determinó la incompatibilidad pensional , se expidieron Resoluciones que ordenaban subrogación pensional, las cuales en todos los casos se han aplicado en nómina u",31/10/2018,en_progreso,,
120,120,"Con oficio 2018IE33247, dirigido a la Oficina Asesora Jurídica, se sugiere convocar una reunión con el equipo SIGUD para el ajuste a los procedimientos existentes o a la documentación del proceso de Gestión Jurídica que se consideren pertinentes.",31/10/2018,en_progreso,,
121,121,"1. Se han notificado  y comunicado según sea el caso, todas  las Resoluciones suscritas por el señor Rector  en orden a los eventos de compatibilidad o incompatibilidad pensional, las direcciones de notitficación son las aportadas por la División de Recur",31/10/2018,en_progreso,,
122,122,"1. Se han desatado todos  los recursos de reposición interpuestos por los pensionados en los casos de incompatibilidad pensional . De 36 impugnaciones, 35 se han resuelto mediante acto administrativo y la restante se esta proyectando por la Oficina Asesor",31/10/2018,en_progreso,,
123,123,"1. Una vez agotada la vía gubernativa en cada uno de los procedimientos administrativos que determinó la incompatibilidad pensional , se expidieron Resoluciones que ordenaban subrogación pensional, las cuales en todos los casos se han aplicado en nómina u",31/10/2018,en_progreso,,
124,124,"1. Una vez agotada la vía gubernativa en cada uno de los procedimientos administrativos que determinó la incompatibilidad pensional , se expidieron Resoluciones que ordenaban subrogación pensional, las cuales en todos los casos se han aplicado en nómina u",31/10/2018,en_progreso,,
125,125,"1. La accion 142 no aparece evaluada por la Contraloría dentro del item 2.1.2.1 ""Plan de Mejoramiento Resultados"".
1. Se anexa matriz que da cuenta de las Resoluciones con las que se aperturó procedimiento administrativo y en cada uno de dichos actos admi",31/10/2018,en_progreso,,
126,126,"1. Como quiera que la acción propuesta salvaguarda el debido proceso y el derecho de defensa a los pensionados dentro de los 106 casos objeto de hallazgo por parte de la Contraloría en presuntas dobles pensiones, se iniciaron procedimientos administrattiv",31/10/2018,en_progreso,,
127,127,"1. Como quiera que la acción propuesta salvaguarda el debido proceso y el derecho de defensa a los pensionados dentro de los 106 casos objeto de hallazgo por parte de la Contraloría en presuntas dobles pensiones, se iniciaron procedimientos administrattiv",31/10/2018,en_progreso,,
128,128,"1. Se han desatado todos  los recursos de reposición interpuestos por los pensionados en los casos de incompatibilidad pensional . De 36 impugnaciones, 35 se han resuelto mediante acto administrativo y la restante se esta proyectando por la Oficina Asesor",31/10/2018,en_progreso,,
